Timestamp,level,Component,Message
2024-01-15 08:00:00,ERROR,DataLoader,Failed to write output file: permission denied
2024-01-15 08:00:08,INFO,DataLoader,Batch 4468 processed successfully
2024-01-15 08:00:17,WARN,DataLoader,"Record count mismatch: expected 768, got 1792"
2024-01-15 08:00:26,INFO,Scheduler,File loaded successfully
2024-01-15 08:00:34,ERROR,Scheduler,Schema validation failed for table: orders
2024-01-15 08:00:43,WARN,DataLoader,"Retrying connection, attempt 3463"
2024-01-15 08:00:52,INFO,Transformer,Job completed in 838 seconds
2024-01-15 08:01:00,INFO,Validator,Job completed in 4946 seconds
2024-01-15 08:01:09,ERROR,Exporter,Unhandled exception: KeyError('customer_id')
2024-01-15 08:01:18,INFO,Validator,Batch 2963 processed successfully
2024-01-15 08:01:27,INFO,DataLoader,File loaded successfully
2024-01-15 08:01:35,DEBUG,Transformer,Entering function process_batch()
2024-01-15 08:01:44,WARN,Validator,"Retrying connection, attempt 3033"
2024-01-15 08:01:53,INFO,Validator,Batch 585 processed successfully
2024-01-15 08:02:01,ERROR,Scheduler,Failed to write output file: permission denied
2024-01-15 08:02:10,WARN,Validator,"Partial batch processed, 1800 records skipped"
2024-01-15 08:02:19,DEBUG,DataLoader,Cache hit ratio: 263%
2024-01-15 08:02:27,INFO,DataLoader,Starting data load
2024-01-15 08:02:36,INFO,Exporter,Connection established to source system
2024-01-15 08:02:45,INFO,Transformer,Batch 4599 processed successfully
2024-01-15 08:02:54,INFO,Scheduler,Connection established to source system
2024-01-15 08:03:02,INFO,Transformer,Checkpoint saved
2024-01-15 08:03:11,ERROR,DataLoader,Null detected in field: user_id
2024-01-15 08:03:20,WARN,Exporter,Slow query detected: 4882ms
2024-01-15 08:03:28,WARN,Scheduler,"Record count mismatch: expected 939, got 4399"
2024-01-15 08:03:37,ERROR,Validator,Null value found in column: amount
2024-01-15 08:03:46,INFO,DataLoader,Batch 2158 processed successfully
2024-01-15 08:03:55,ERROR,Scheduler,Null value found in column: amount
2024-01-15 08:04:03,WARN,Transformer,Deprecated config key used: legacy_mode
2024-01-15 08:04:12,DEBUG,Scheduler,Entering function process_batch()
2024-01-15 08:04:21,WARN,DataLoader,Deprecated config key used: legacy_mode
2024-01-15 08:04:29,INFO,Scheduler,File loaded successfully
2024-01-15 08:04:38,ERROR,Scheduler,Duplicate primary key detected: 1031
2024-01-15 08:04:47,ERROR,Scheduler,Null detected in field: user_id
2024-01-15 08:04:55,DEBUG,Exporter,Cache hit ratio: 4418%
2024-01-15 08:05:04,ERROR,Exporter,Failed to write output file: permission denied
2024-01-15 08:05:13,DEBUG,Exporter,Entering function process_batch()
2024-01-15 08:05:22,INFO,DataLoader,Checkpoint saved
2024-01-15 08:05:30,WARN,DataLoader,"Record count mismatch: expected 483, got 1876"
2024-01-15 08:05:39,INFO,DataLoader,Job completed in 581 seconds
2024-01-15 08:05:48,INFO,Exporter,Starting data load
2024-01-15 08:05:56,ERROR,Scheduler,Unhandled exception: KeyError('customer_id')
2024-01-15 08:06:05,ERROR,Exporter,Null detected in field: user_id
2024-01-15 08:06:14,ERROR,Validator,Schema validation failed for table: orders
2024-01-15 08:06:22,DEBUG,DataLoader,Entering function process_batch()
2024-01-15 08:06:31,ERROR,DataLoader,Null detected in field: user_id
2024-01-15 08:06:40,WARN,Transformer,Slow query detected: 1504ms
2024-01-15 08:06:49,WARN,DataLoader,Slow query detected: 4509ms
2024-01-15 08:06:57,INFO,Scheduler,File loaded successfully
2024-01-15 08:07:06,INFO,Exporter,Connection established to source system
2024-01-15 08:07:15,DEBUG,Transformer,Query plan: sequential scan on table orders
2024-01-15 08:07:23,INFO,Exporter,Job completed in 3466 seconds
2024-01-15 08:07:32,ERROR,Exporter,Null detected in field: user_id
2024-01-15 08:07:41,INFO,DataLoader,Checkpoint saved
2024-01-15 08:07:50,ERROR,DataLoader,Null value found in column: amount
2024-01-15 08:07:58,WARN,Scheduler,"Retrying connection, attempt 466"
2024-01-15 08:08:07,INFO,Transformer,File loaded successfully
2024-01-15 08:08:16,ERROR,Transformer,Schema validation failed for table: orders
2024-01-15 08:08:24,INFO,Scheduler,File loaded successfully
2024-01-15 08:08:33,ERROR,Scheduler,Unhandled exception: KeyError('customer_id')
2024-01-15 08:08:42,INFO,Validator,Starting data load
2024-01-15 08:08:50,INFO,Validator,Connection established to source system
2024-01-15 08:08:59,INFO,Scheduler,Checkpoint saved
2024-01-15 08:09:08,WARN,Scheduler,Deprecated config key used: legacy_mode
2024-01-15 08:09:17,DEBUG,Transformer,Memory usage: 2335MB
2024-01-15 08:09:25,INFO,Scheduler,Batch 2479 processed successfully
2024-01-15 08:09:34,INFO,Scheduler,Job completed in 849 seconds
2024-01-15 08:09:43,INFO,DataLoader,Batch 4533 processed successfully
2024-01-15 08:09:51,INFO,Scheduler,Starting data load
2024-01-15 08:10:00,ERROR,Validator,Unhandled exception: KeyError('customer_id')
2024-01-15 08:10:09,DEBUG,DataLoader,Entering function process_batch()
2024-01-15 08:10:17,INFO,Validator,Starting data load
2024-01-15 08:10:26,ERROR,Scheduler,Failed to write output file: permission denied
2024-01-15 08:10:35,INFO,DataLoader,Batch 1222 processed successfully
2024-01-15 08:10:44,INFO,Validator,Checkpoint saved
2024-01-15 08:10:52,INFO,DataLoader,Job completed in 2988 seconds
2024-01-15 08:11:01,DEBUG,Transformer,Cache hit ratio: 843%
2024-01-15 08:11:10,ERROR,Exporter,Unhandled exception: KeyError('customer_id')
2024-01-15 08:11:18,DEBUG,Transformer,Query plan: sequential scan on table orders
2024-01-15 08:11:27,ERROR,Validator,Duplicate primary key detected: 3373
2024-01-15 08:11:36,INFO,DataLoader,Connection established to source system
2024-01-15 08:11:45,INFO,Exporter,Job completed in 2501 seconds
2024-01-15 08:11:53,INFO,Transformer,Connection established to source system
2024-01-15 08:12:02,DEBUG,Validator,Memory usage: 4174MB
2024-01-15 08:12:11,ERROR,Scheduler,Connection timeout after 227 seconds
2024-01-15 08:12:19,DEBUG,Validator,Cache hit ratio: 4757%
2024-01-15 08:12:28,INFO,Scheduler,Connection established to source system
